Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall_amount,Period over which rainfall was measured (days),Quality
IDCJAC0009,87031,2009,2,6,0,1,N
IDCJAC0009,87031,2009,2,7,0,1,N
IDCJAC0009,87031,2009,2,8,0.4,1,N
IDCJAC0009,87031,2009,2,9,1,1,N
IDCJAC0009,87031,2009,2,10,0.4,1,N
IDCJAC0009,87031,2009,2,11,0,1,N
IDCJAC0009,87031,2009,2,12,0,1,N
IDCJAC0009,87031,2009,2,13,0,1,N
IDCJAC0009,87031,2009,2,14,0,1,N
IDCJAC0009,87031,2009,2,15,0,1,N
IDCJAC0009,87031,2009,2,16,0,1,N
IDCJAC0009,87031,2009,2,17,0,1,N
IDCJAC0009,87031,2009,2,18,0,1,N
IDCJAC0009,87031,2009,2,19,0,1,N
IDCJAC0009,87031,2009,2,20,0,1,N
IDCJAC0009,87031,2009,2,21,0,1,N
IDCJAC0009,87031,2009,2,22,0,1,N
IDCJAC0009,87031,2009,2,23,0,1,N
IDCJAC0009,87031,2009,2,24,0,1,N
IDCJAC0009,87031,2009,2,25,0,1,N
IDCJAC0009,87031,2009,2,26,0,1,N
IDCJAC0009,87031,2009,2,27,0,1,N
IDCJAC0009,87031,2009,2,28,0,1,N
IDCJAC0009,87031,2009,3,1,0,1,N
IDCJAC0009,87031,2009,3,2,0.2,1,N
IDCJAC0009,87031,2009,3,3,0.6,1,N
IDCJAC0009,87031,2009,3,4,1.6,1,N
IDCJAC0009,87031,2009,3,5,0.6,1,N
IDCJAC0009,87031,2009,3,6,2.4,1,N
IDCJAC0009,87031,2009,3,7,0.2,1,N
IDCJAC0009,87031,2009,3,8,0,1,N
IDCJAC0009,87031,2009,3,9,0,1,N
IDCJAC0009,87031,2009,3,10,0,1,N
IDCJAC0009,87031,2009,3,11,0,1,N
IDCJAC0009,87031,2009,3,12,1.2,1,N
IDCJAC0009,87031,2009,3,13,5.2,1,N
IDCJAC0009,87031,2009,3,14,2.6,1,N
IDCJAC0009,87031,2009,3,15,19.8,1,N
IDCJAC0009,87031,2009,3,16,1.2,1,N
IDCJAC0009,87031,2009,3,17,0,1,N
IDCJAC0009,87031,2009,3,18,0,1,N
IDCJAC0009,87031,2009,3,19,0,1,N
IDCJAC0009,87031,2009,3,20,0,1,N
IDCJAC0009,87031,2009,3,21,0,1,N
IDCJAC0009,87031,2009,3,22,0,1,N
IDCJAC0009,87031,2009,3,23,0,1,N
IDCJAC0009,87031,2009,3,24,0,1,N
IDCJAC0009,87031,2009,3,25,3,1,N
IDCJAC0009,87031,2009,3,26,0,1,N
IDCJAC0009,87031,2009,3,27,0,1,N
IDCJAC0009,87031,2009,3,28,0,1,N
IDCJAC0009,87031,2009,3,29,0,1,N
IDCJAC0009,87031,2009,3,30,0,1,N
IDCJAC0009,87031,2009,3,31,0,1,N
IDCJAC0009,87031,2009,4,1,0,1,N
IDCJAC0009,87031,2009,4,2,0,1,N
IDCJAC0009,87031,2009,4,3,0,1,N
IDCJAC0009,87031,2009,4,4,5.6,1,N
IDCJAC0009,87031,2009,4,5,0,1,N
IDCJAC0009,87031,2009,4,6,0,1,N
IDCJAC0009,87031,2009,4,7,0.2,1,N
IDCJAC0009,87031,2009,4,8,0.2,1,N
IDCJAC0009,87031,2009,4,9,0,1,N
IDCJAC0009,87031,2009,4,10,1,1,N
IDCJAC0009,87031,2009,4,11,0,1,N
IDCJAC0009,87031,2009,4,12,0,1,N
IDCJAC0009,87031,2009,4,13,0,1,N
IDCJAC0009,87031,2009,4,14,0,1,N
IDCJAC0009,87031,2009,4,15,2.2,1,N
IDCJAC0009,87031,2009,4,16,0,1,N
IDCJAC0009,87031,2009,4,17,0.2,1,N
IDCJAC0009,87031,2009,4,18,0,1,N
IDCJAC0009,87031,2009,4,19,1,1,N
IDCJAC0009,87031,2009,4,20,0,1,N
IDCJAC0009,87031,2009,4,21,0,1,N
IDCJAC0009,87031,2009,4,22,0,1,N
IDCJAC0009,87031,2009,4,23,0,1,N
IDCJAC0009,87031,2009,4,24,0,1,N
IDCJAC0009,87031,2009,4,25,3.2,1,N
IDCJAC0009,87031,2009,4,26,5.8,1,N
IDCJAC0009,87031,2009,4,27,1.8,1,N
IDCJAC0009,87031,2009,4,28,3.4,1,N
IDCJAC0009,87031,2009,4,29,2,1,N
IDCJAC0009,87031,2009,4,30,0,1,N
IDCJAC0009,87031,2009,5,1,0.2,1,N
IDCJAC0009,87031,2009,5,2,0,1,N
IDCJAC0009,87031,2009,5,3,0,1,N
IDCJAC0009,87031,2009,5,4,0,1,N
IDCJAC0009,87031,2009,5,5,0,1,N
IDCJAC0009,87031,2009,5,6,0,1,N
IDCJAC0009,87031,2009,5,7,0,1,N
IDCJAC0009,87031,2009,5,8,0.6,1,N
IDCJAC0009,87031,2009,5,9,2,1,N
IDCJAC0009,87031,2009,5,10,0,1,N
IDCJAC0009,87031,2009,5,11,0.2,1,N
IDCJAC0009,87031,2009,5,12,0,1,N
IDCJAC0009,87031,2009,5,13,0,1,N
IDCJAC0009,87031,2009,5,14,0.2,1,N
IDCJAC0009,87031,2009,5,15,0,1,N
IDCJAC0009,87031,2009,5,16,0.2,1,N
IDCJAC0009,87031,2009,5,17,0,1,N
IDCJAC0009,87031,2009,5,18,0,1,N
IDCJAC0009,87031,2009,5,19,0.2,1,N
IDCJAC0009,87031,2009,5,20,0,1,N
IDCJAC0009,87031,2009,5,21,0.2,1,N
IDCJAC0009,87031,2009,5,22,0,1,N
IDCJAC0009,87031,2009,5,23,0,1,N
IDCJAC0009,87031,2009,5,24,0,1,N
IDCJAC0009,87031,2009,5,25,0,1,N
IDCJAC0009,87031,2009,5,26,4.8,1,N
IDCJAC0009,87031,2009,5,27,0,1,N
IDCJAC0009,87031,2009,5,28,0.2,1,N
IDCJAC0009,87031,2009,5,29,1,1,N
IDCJAC0009,87031,2009,5,30,0,1,N
IDCJAC0009,87031,2009,5,31,0,1,N
IDCJAC0009,87031,2009,6,1,0,1,N
IDCJAC0009,87031,2009,6,2,0.4,1,N
IDCJAC0009,87031,2009,6,3,1.6,1,N
IDCJAC0009,87031,2009,6,4,0.8,1,N
IDCJAC0009,87031,2009,6,5,0.6,1,N
IDCJAC0009,87031,2009,6,6,0,1,N
IDCJAC0009,87031,2009,6,7,0,1,N
IDCJAC0009,87031,2009,6,8,0,1,N
IDCJAC0009,87031,2009,6,9,1.6,1,N
IDCJAC0009,87031,2009,6,10,6.2,1,N
IDCJAC0009,87031,2009,6,11,3.4,1,N
IDCJAC0009,87031,2009,6,12,0,1,N
IDCJAC0009,87031,2009,6,13,0,1,N
IDCJAC0009,87031,2009,6,14,0,1,N
IDCJAC0009,87031,2009,6,15,0,1,N
IDCJAC0009,87031,2009,6,16,0.2,1,N
IDCJAC0009,87031,2009,6,17,0.2,1,N
IDCJAC0009,87031,2009,6,18,0,1,N
IDCJAC0009,87031,2009,6,19,0,1,N
IDCJAC0009,87031,2009,6,20,0.2,1,N
