"date","rainfall_amount"
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,0
2011-04-27,7.2
2011-04-28,15.4
2011-04-29,1.8
2011-04-30,12.4
2011-05-01,0.2
2011-05-02,0
2011-05-03,0
2011-05-04,19.6
2011-05-05,0.2
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,5.6
2011-05-10,3.8
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0.4
2011-05-18,0.2
2011-05-19,0.2
2011-05-20,4.2
2011-05-21,0.4
2011-05-22,10.8
2011-05-23,0
2011-05-24,11.4
2011-05-25,0
2011-05-26,0
2011-05-27,0
2011-05-28,0
2011-05-29,0
2011-05-30,12
2011-05-31,0.2
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,3.8
2011-06-13,0.2
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0.2
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,0
2011-06-30,6.4
2011-07-01,0.2
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,10.8
2011-07-17,1
2011-07-18,0.2
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0.2
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,2.2
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,3
2011-08-22,8
2011-08-23,15.2
2011-08-24,6.8
2011-08-25,0
2011-08-26,0
2011-08-27,5.2
2011-08-28,23.6
2011-08-29,0
2011-08-30,0
2011-08-31,12.8
2011-09-01,0
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,0.4
2011-09-06,0.2
2011-09-07,0
2011-09-08,0
2011-09-09,0
2011-09-10,14.6
2011-09-11,0
2011-09-12,0
2011-09-13,0
2011-09-14,0
2011-09-15,0
2011-09-16,0
2011-09-17,0
2011-09-18,0
2011-09-19,0
2011-09-20,0
2011-09-21,0
2011-09-22,0
2011-09-23,0
2011-09-24,0
2011-09-25,0.2
2011-09-26,0
2011-09-27,0
2011-09-28,0
2011-09-29,0
2011-09-30,3.2
2011-10-01,0
2011-10-02,0
2011-10-03,0
2011-10-04,6
2011-10-05,0.2
2011-10-06,3.8
2011-10-07,5.4
2011-10-08,14.6
2011-10-09,1.4
2011-10-10,0
2011-10-11,0
2011-10-12,0
2011-10-13,0
2011-10-14,30.8
2011-10-15,13.8
2011-10-16,6.2
2011-10-17,0.6
2011-10-18,0.4
2011-10-19,0
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,0
2011-10-24,0
2011-10-25,0
2011-10-26,0
2011-10-27,6.2
2011-10-28,0
2011-10-29,0
2011-10-30,0
2011-10-31,28.4
2011-11-01,0
2011-11-02,0
2011-11-03,0
2011-11-04,0
2011-11-05,0
2011-11-06,0
2011-11-07,0
2011-11-08,0
2011-11-09,0
2011-11-10,0
2011-11-11,0
2011-11-12,0
2011-11-13,0
2011-11-14,0
2011-11-15,0
2011-11-16,0
2011-11-17,0
2011-11-18,0
2011-11-19,0
2011-11-20,0
2011-11-21,0
2011-11-22,0
2011-11-23,0
2011-11-24,1.6
2011-11-25,10.2
2011-11-26,0.6
2011-11-27,3.2
2011-11-28,0
2011-11-29,0
2011-11-30,0
2011-12-01,0
2011-12-02,13
2011-12-03,0
2011-12-04,0
2011-12-05,0
2011-12-06,0
